tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directors
tt0100267,Nobat e Asheghi,1995,75,"['Drama', 'Romance']",6.4,216.0,['nm0538532']
tt0103340,Life for Life: Maximilian Kolbe,2006,90,"['Biography', 'Drama']",6.3,355.0,['nm0953130']
tt0105298,Running Wild,1995,94,['Drama'],5.6,396.0,['nm0572114']
tt0108576,Witch Academy,1995,83,"['Comedy', 'Horror']",3.9,246.0,['nm0676248']
tt0109546,Temptress,1995,93,"['Horror', 'Thriller']",4.1,384.0,['nm0487008']
tt0109593,Delta of Venus,1995,102,['Drama'],4.7,2282.0,['nm0455394']
tt0109606,Nude with Oranges,1996,110,['Drama'],7.7,67.0,['nm0482901']
tt0109761,The Surgeon,1995,100,"['Horror', 'Thriller']",4.8,754.0,['nm0770918']
tt0109991,The Stairway to the Distant Past,1995,101,"['Drama', 'Mystery']",6.8,208.0,['nm0370627']
tt0110165,Secrets Shared with a Stranger,1995,92,"['Crime', 'Drama']",5.9,130.0,['nm0054195']
tt0110355,Limita,1995,89,['Drama'],6.0,162.0,['nm0947860']
tt0110443,Major Payne,1995,95,"['Adventure', 'Comedy', 'Family']",6.2,37565.0,['nm0145309']
tt0110476,Master i Margarita,2006,125,"['Drama', 'Fantasy']",6.5,656.0,['nm0438671']
tt0110797,Patriots,1996,83,['Thriller'],5.7,102.0,['nm0449692']
tt0110864,Poliziotti,1995,89,"['Crime', 'Drama']",5.8,163.0,['nm0059698']
tt0110910,Pterodactyl Woman from Beverly Hills,1996,97,['Comedy'],4.6,255.0,['nm0602333']
tt0111023,Rough Diamonds,1995,90,"['Comedy', 'Crime', 'Music']",6.2,67.0,['nm0188589']
tt0111269,The Knickerbocker Gang: The Talking Grave,1995,90,"['Family', 'Mystery']",4.7,64.0,['nm0883338']
tt0111857,À la recherche du mari de ma femme,1995,88,['Comedy'],7.5,53.0,['nm0853403']
tt0112281,Ace Ventura: When Nature Calls,1995,90,"['Adventure', 'Comedy', 'Crime']",6.4,226408.0,['nm0644203']
tt0112291,Adultery: A User's Guide,1995,95,"['Comedy', 'Drama', 'Romance']",5.7,250.0,['nm0664243']
tt0112313,Akele Hum Akele Tum,1995,160,"['Drama', 'Romance']",6.9,5337.0,['nm0451257']
tt0112314,Akwarium,1996,145,['Action'],6.6,202.0,['nm0470374']
tt0112362,Angel Baby,1995,105,"['Drama', 'Romance']",7.0,1525.0,['nm0753382']
tt0112379,Antonia's Line,1995,102,"['Comedy', 'Drama']",7.4,9263.0,['nm0331296']
tt0112403,On Earth as It Is in Heaven,1995,95,"['Comedy', 'Fantasy']",6.8,800.0,['nm0191109']
tt0112483,Best of the Best 3: No Turning Back,1995,90,"['Action', 'Crime', 'Drama']",4.8,2362.0,['nm0722221']
tt0112508,Billy Madison,1995,89,['Comedy'],6.3,151173.0,['nm0205542']
tt0112541,Blue in the Face,1995,83,['Comedy'],6.6,9892.0,"['nm0000808', 'nm0910905', 'nm0911061']"
tt0112553,Bombay,1995,141,"['Drama', 'Romance']",8.1,13282.0,['nm0711745']
tt0112580,Broadcast Bombshells,1995,80,['Comedy'],3.1,183.0,['nm0766578']
tt0112595,Bulan Tertusuk Ilalang,1995,125,['Drama'],7.1,57.0,['nm0637838']
tt0112671,Chyornaya vual,1995,97,"['Crime', 'Romance']",5.9,56.0,['nm0698742']
